"id","type","title","authors","venue","year","pages","url"
"conf_ismar_seeligerm0f21","inproceedings","Exploring the Effect of Visual Cues on Eye Gaze During AR-Guided Picking and Assembly Tasks.","Arne Seeliger; Gerrit Merz; Christian Holz; Stefan Feuerriegel","ISMAR Adjunct","2021","159-164","https://doi.org/10.1109/ISMAR-Adjunct54149.2021.00041"
"conf_ismar_wolfl0m21","inproceedings","Gaze Comes in Handy: Predicting and Preventing Erroneous Hand Actions in AR-Supported Manual Tasks.","Julian Wolf; Quentin Lohmeyer; Christian Holz; Mirko Meboldt","ISMAR","2021","166-175","https://doi.org/10.1109/ISMAR52148.2021.00031"
"conf_uist_karigjbs021","inproceedings","SoundsRide: Affordance-Synchronized Music Mixing for In-Car Audio Augmented Reality.","Mohamed Kari; Tobias Grosse-Puppendahl; Alexander Jagaciak; David Bethge; Reinhard Schütte; Christian Holz","UIST","2021","118-133","https://doi.org/10.1145/3472749.3474739"
"conf_uist_ahujas021","inproceedings","TouchPose: Hand Pose Prediction, Depth Estimation, and Touch Classification from Capacitive Images.","Karan Ahuja; Paul Streli; Christian Holz","UIST","2021","997-1009","https://doi.org/10.1145/3472749.3474801"
"conf_uist_marquardtr0rpbl21","inproceedings","AirConstellations: In-Air Device Formations for Cross-Device Interaction via Multiple Spatially-Aware Armatures.","Nicolai Marquardt; Nathalie Henry Riche; Christian Holz; Hugo Romat; Michel Pahud; Frederik Brudy; David Ledo; Chunjong Park; Molly Jane Nicholas; Teddy Seyed; Eyal Ofek; Bongshin Lee; William A. S. Buxton; Ken Hinckley","UIST","2021","1252-1268","https://doi.org/10.1145/3472749.3474820"
"conf_vr_romatfm021a","inproceedings","Flashpen: A High-Fidelity and High-Precision Multi-Surface Pen for Virtual Reality.","Hugo Romat; Andreas Fender; Manuel Meier; Christian Holz","VR","2021","306-315","https://doi.org/10.1109/VR50410.2021.00053"
"conf_vr_meiersf021a","inproceedings","TapID: Rapid Touch Interaction in Virtual Reality using Wearable Sensing.","Manuel Meier; Paul Streli; Andreas Fender; Christian Holz","VR","2021","519-528","https://doi.org/10.1109/VR50410.2021.00076"
"conf_chi_barriosolhhhl20","inproceedings","A Rapid Tapping Task on Commodity Smartphones to Assess Motor Fatigability.","Liliana Barrios; Pietro Oldrati; David Lindlbauer; Marc Hilty; Helen Hayward-Koennecke; Christian Holz; Andreas Lutterotti","CHI","2020","1-10","https://doi.org/10.1145/3313831.3376588"
"conf_chi_siusko0c20","inproceedings","Virtual Reality Without Vision: A Haptic and Auditory White Cane to Navigate Complex Virtual Worlds.","Alexa F. Siu; Mike Sinclair; Robert Kovacs; Eyal Ofek; Christian Holz; Edward Cutrell","CHI","2020","1-13","https://doi.org/10.1145/3313831.3376353"
"conf_chi_voelkerh0rm20","inproceedings","GazeConduits: Calibration-Free Cross-Device Collaboration through Gaze and Touch.","Simon Voelker; Sebastian Hueber; Christian Holz; Christian Remy; Nicolai Marquardt","CHI","2020","1-10","https://doi.org/10.1145/3313831.3376578"
"conf_uist_brudylpr0wspzjc20","inproceedings","SurfaceFleet: Exploring Distributed Interactions Unbounded from Device, Application, User, and Time.","Frederik Brudy; David Ledo; Michel Pahud; Nathalie Henry Riche; Christian Holz; Anand Waghmare; Hemant Bhaskar Surale; Marcus Peinado; Xiaokuan Zhang; Shannon Joyner; Badrish Chandramouli; Umar Farooq Minhas; Jonathan Goldstein; William Buxton; Ken Hinckley","UIST","2020","7-21","https://doi.org/10.1145/3379337.3415874"
"conf_uist_romat0rp0rbh20","inproceedings","Tilt-Responsive Techniques for Digital Drawing Boards.","Hugo Romat; Christopher Collins; Nathalie Henry Riche; Michel Pahud; Christian Holz; Adam Riddle; Bill Buxton; Ken Hinckley","UIST","2020","500-515","https://doi.org/10.1145/3379337.3415861"
"conf_uist_langerakzl0h20","inproceedings","Omni: Volumetric Sensing and Actuation of Passive Magnetic Tools for Dynamic Haptic Feedback.","Thomas Langerak; Juan José Zarate; David Lindlbauer; Christian Holz; Otmar Hilliges","UIST","2020","594-606","https://doi.org/10.1145/3379337.3415589"
"conf_uist_kovacsogsm0s20","inproceedings","Haptic PIVOT: On-Demand Handhelds in VR.","Robert Kovacs; Eyal Ofek; Mar González-Franco; Alexa Fay Siu; Sebastian Marwecki; Christian Holz; Mike Sinclair","UIST","2020","1046-1059","https://doi.org/10.1145/3379337.3415854"
"conf_chi_zhangphxlmtmsbh19","inproceedings","Sensing Posture-Aware Pen+Touch Interaction on Tablets.","Yang Zhang; Michel Pahud; Christian Holz; Haijun Xia; Gierad Laput; Michael J. McGuffin; Xiao Tu; Andrew Mittereder; Fei Su; William Buxton; Ken Hinckley","CHI","2019","55","https://doi.org/10.1145/3290605.3300285"
"conf_chi_leesgoh19","inproceedings","TORC: A Virtual Reality Controller for In-Hand High-Dexterity Finger Interaction.","Jaeyeon Lee; Mike Sinclair; Mar González-Franco; Eyal Ofek; Christian Holz","CHI","2019","71","https://doi.org/10.1145/3290605.3300301"
"conf_chi_zhaochmow19","inproceedings","SeeingVR: A Set of Tools to Make Virtual Reality More Accessible to People with Low Vision.","Yuhang Zhao; Edward Cutrell; Christian Holz; Meredith Ringel Morris; Eyal Ofek; Andrew D. Wilson","CHI","2019","111","https://doi.org/10.1145/3290605.3300341"
"conf_chi_hartmannhow19","inproceedings","RealityCheck: Blending Virtual Environments with Situated Physical Reality.","Jeremy Hartmann; Christian Holz; Eyal Ofek; Andrew D. Wilson","CHI","2019","347","https://doi.org/10.1145/3290605.3300577"
"conf_chi_brudyhrwhkm19","inproceedings","Cross-Device Taxonomy: Survey, Opportunities and Challenges of Interactions Spanning Across Multiple Devices.","Frederik Brudy; Christian Holz; Roman Rädle; Chi-Jui Wu; Steven Houben; Clemens Nylandsted Klokmose; Nicolai Marquardt","CHI","2019","562","https://doi.org/10.1145/3290605.3300792"
"conf_uist_marweckiwog019","inproceedings","Mise-Unseen: Using Eye Tracking to Hide Virtual Reality Scene Changes in Plain Sight.","Sebastian Marwecki; Andrew D. Wilson; Eyal Ofek; Mar González-Franco; Christian Holz","UIST","2019","777-789","https://doi.org/10.1145/3332165.3347919"
"conf_uist_sinclairog019","inproceedings","CapstanCrunch: A Haptic VR Controller with User-supplied Force Feedback.","Mike Sinclair; Eyal Ofek; Mar González-Franco; Christian Holz","UIST","2019","815-829","https://doi.org/10.1145/3332165.3347891"
"conf_uist_yang0ow19","inproceedings","DreamWalker: Substituting Real-World Walking Experiences with a Virtual Reality.","Jackie (Junrui) Yang; Christian Holz; Eyal Ofek; Andrew D. Wilson","UIST","2019","1093-1107","https://doi.org/10.1145/3332165.3347875"
"conf_vr_chengohw19","inproceedings","VRoamer: Generating On-The-Fly VR Experiences While Walking inside Large, Unknown Real-World Building Environments.","Lung-Pan Cheng; Eyal Ofek; Christian Holz; Andrew D. Wilson","VR","2019","359-366","https://doi.org/10.1109/VR.2019.8798074"
"journals_imwut_carekh18","article","Naptics: Convenient and Continuous Blood Pressure Monitoring during Sleep.","Andrew M. Carek; Christian Holz","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","2018","96:1-96:22","https://doi.org/10.1145/3264906"
"conf_chi_zhaobbchms18","inproceedings","Enabling People with Visual Impairments to Navigate Virtual Reality with a Haptic and Auditory Cane Simulation.","Yuhang Zhao; Cynthia L. Bennett; Hrvoje Benko; Edward Cutrell; Christian Holz; Meredith Ringel Morris; Mike Sinclair","CHI","2018","116","https://doi.org/10.1145/3173574.3173690"
"conf_chi_strasnickhosb18","inproceedings","Haptic Links: Bimanual Haptics for Virtual Reality Using Variable Stiffness Actuation.","Evan Strasnick; Christian Holz; Eyal Ofek; Mike Sinclair; Hrvoje Benko","CHI","2018","644","https://doi.org/10.1145/3173574.3174218"
"conf_chi_choiobsh18","inproceedings","CLAW: A Multifunctional Handheld Haptic Controller for Grasping, Touching, and Triggering in Virtual Reality.","Inrak Choi; Eyal Ofek; Hrvoje Benko; Mike Sinclair; Christian Holz","CHI","2018","654","https://doi.org/10.1145/3173574.3174228"
"conf_chi_marquardtblbh18","inproceedings","SurfaceConstellations: A Modular Hardware Platform for Ad-Hoc Reconfigurable Cross-Device Workspaces.","Nicolai Marquardt; Frederik Brudy; Can Liu; Ben Bengler; Christian Holz","CHI","2018","354","https://doi.org/10.1145/3173574.3173928"
"conf_chi_villarcshrssyfz18","inproceedings","Project Zanzibar: A Portable and Flexible Tangible Interaction Platform.","Nicolas Villar; Daniel Cletheroe; Greg Saul; Christian Holz; Tim Regan; Oscar Salandin; Misha Sra; Hui-Shyong Yeo; William Field; Haiyan Zhang","CHI","2018","515","https://doi.org/10.1145/3173574.3174089"
"conf_chi_whitmirebhos18","inproceedings","Haptic Revolver: Touch, Shear, Texture, and Shape Rendering on a Reconfigurable Virtual Reality Controller.","Eric Whitmire; Hrvoje Benko; Christian Holz; Eyal Ofek; Mike Sinclair","CHI","2018","86","https://doi.org/10.1145/3173574.3173660"
"conf_chi_radlejfgkrh18","inproceedings","PolarTrack: Optical Outside-In Device Tracking that Exploits Display Polarization.","Roman Rädle; Hans-Christian Jetter; Jonathan Fischer; Inti Gabriel; Clemens Nylandsted Klokmose; Harald Reiterer; Christian Holz","CHI","2018","497","https://doi.org/10.1145/3173574.3174071"
"conf_vr_sinclairohcwsb18","inproceedings","Three Haptic Shape-Feedback Controllers for Virtual Reality.","Mike Sinclair; Eyal Ofek; Christian Holz; Inrak Choi; Eric Whitmire; Evan Strasnick; Hrvoje Benko","VR","2018","777-778","https://doi.org/10.1109/VR.2018.8446399"
"journals_imwut_dementyevh17","article","DualBlink: A Wearable Device to Continuously Detect, Track, and Actuate Blinking For Alleviating Dry Eyes and Computer Vision Syndrome.","Artem Dementyev; Christian Holz","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","2017","1:1-1:19","https://doi.org/10.1145/3053330"
"journals_imwut_holzw17","article","Glabella: Continuously Sensing Blood Pressure Behavior using an Unobtrusive Wearable Device.","Christian Holz; Edward Jay Wang","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","2017","58:1-58:23","https://doi.org/10.1145/3132024"
"conf_chi_grosse_puppendahl17","inproceedings","Finding Common Ground: A Survey of Capacitive Sensing in Human-Computer Interaction.","Tobias Grosse-Puppendahl; Christian Holz; Gabe Cohn; Raphael Wimmer; Oskar Bechtold; Steve Hodges; Matthew S. Reynolds; Joshua R. Smith","CHI","2017","3293-3315","https://doi.org/10.1145/3025453.3025808"
"conf_chi_chengohbw17","inproceedings","Sparse Haptic Proxy: Touch Feedback in Virtual Environments Using a General Passive Prop.","Lung-Pan Cheng; Eyal Ofek; Christian Holz; Hrvoje Benko; Andrew D. Wilson","CHI","2017","3718-3728","https://doi.org/10.1145/3025453.3025753"
"conf_chi_hinckleyhphbsbo16","inproceedings","Pre-Touch Sensing for Mobile Interaction.","Ken Hinckley; Seongkook Heo; Michel Pahud; Christian Holz; Hrvoje Benko; Abigail Sellen; Richard Banks; Kenton O'Hara; Gavin Smyth; William Buxton","CHI","2016","2869-2881","https://doi.org/10.1145/2858036.2858095"
"conf_chi_holzb16","inproceedings","On-Demand Biometrics: Fast Cross-Device Authentication.","Christian Holz; Frank R. Bentley","CHI","2016","3761-3766","https://doi.org/10.1145/2858036.2858139"
"conf_iswc_kaohrcs16","inproceedings","DuoSkin: rapidly prototyping on-skin user interfaces using skin-friendly materials.","Hsin-Liu Cindy Kao; Christian Holz; Asta Roseway; Andrés A. Calvo; Chris Schmandt","ISWC","2016","16-23","https://doi.org/10.1145/2971763.2971777"
"conf_uist_benkohso16","inproceedings","NormalTouch and TextureTouch: High-fidelity 3D Haptic Shape Rendering on Handheld Virtual Reality Controllers.","Hrvoje Benko; Christian Holz; Mike Sinclair; Eyal Ofek","UIST","2016","717-728","https://doi.org/10.1145/2984511.2984526"
"conf_chi_bentleych15","inproceedings","Reducing the Stress of Coordination: Sharing Travel Time Information Between Contacts on Mobile Phones.","Frank R. Bentley; Ying-Yu Chen; Christian Holz","CHI","2015","967-970","https://doi.org/10.1145/2702123.2702208"
"conf_chi_holzbk15","inproceedings","Bodyprint: Biometric User Identification on Mobile Devices Using the Capacitive Touchscreen to Scan Body Parts.","Christian Holz; Senaka Buthpitiya; Marius Knaust","CHI","2015","3011-3014","https://doi.org/10.1145/2702123.2702518"
"conf_mhci_chenbhx15","inproceedings","Sharing (and Discussing) the Moment: The Conversations that Occur Around Shared Mobile Media.","Ying-Yu Chen; Frank Bentley; Christian Holz; Cheng Xu","MobileHCI","2015","264-273","https://doi.org/10.1145/2785830.2785868"
"conf_tvx_holzbcp15","inproceedings","""I'm just on my phone and they're watching TV"": Quantifying mobile device use while watching television.","Christian Holz; Frank Bentley; Karen Church; Mitesh Patel","TVX","2015","93-102","https://doi.org/10.1145/2745197.2745210"
"conf_uist_jinhh15","inproceedings","Tracko: Ad-hoc Mobile 3D Tracking Using Bluetooth Low Energy and Inaudible Signals for Cross-Device Interaction.","Haojian Jin; Christian Holz; Kasper Hornbæk","UIST","2015","147-156","https://doi.org/10.1145/2807442.2807475"
"conf_uist_holzk15","inproceedings","Biometric Touch Sensing: Seamlessly Augmenting Each Touch with Continuous Authentication.","Christian Holz; Marius Knaust","UIST","2015","303-312","https://doi.org/10.1145/2807442.2807458"
"conf_chi_baudischprwlkksh14","inproceedings","Imaginary reality basketball: a ball game without a ball.","Patrick Baudisch; Henning Pohl; Stefanie Reinicke; Emilia Wittmers; Patrick Lühne; Marius Knaust; Sven Köhler; Patrick Schmidt; Christian Holz","CHI Extended Abstracts","2014","575-578","https://doi.org/10.1145/2559206.2574813"
"conf_chi_branzelhhsklm0b13a","inproceedings","GravitySpace: tracking users and their poses in a smart room using a pressure-sensing floor.","Alan Bränzel; Christian Holz; Daniel Hoffmann; Dominik Schmidt; Marius Knaust; Patrick Lühne; René Meusel; Stephan Richter; Patrick Baudisch","CHI","2013","725-734","https://doi.org/10.1145/2470654.2470757"
"conf_mhci_steinsghb13","inproceedings","Imaginary devices: gesture-based interaction mimicking traditional input devices.","Christian Steins; Sean Gustafson; Christian Holz; Patrick Baudisch","Mobile HCI","2013","123-126","https://doi.org/10.1145/2493190.2493208"
"conf_uist_holzb13","inproceedings","Fiberio: a touchscreen that senses fingerprints.","Christian Holz; Patrick Baudisch","UIST","2013","41-50","https://doi.org/10.1145/2501988.2502021"
"conf_uist_baudischprwlkksh13","inproceedings","Imaginary reality gaming: ball games without a ball.","Patrick Baudisch; Henning Pohl; Stefanie Reinicke; Emilia Wittmers; Patrick Lühne; Marius Knaust; Sven Köhler; Patrick Schmidt; Christian Holz","UIST","2013","405-410","https://doi.org/10.1145/2501988.2502012"
"conf_chi_holzgfa12","inproceedings","Implanted user interfaces.","Christian Holz; Tovi Grossman; George W. Fitzmaurice; Anne M. Agur","CHI","2012","503-512","https://doi.org/10.1145/2207676.2207745"
"conf_chi_richterhb12","inproceedings","Bootstrapper: recognizing tabletop users by their shoes.","Stephan Richter; Christian Holz; Patrick Baudisch","CHI","2012","1249-1252","https://doi.org/10.1145/2207676.2208577"
"conf_chi_holzw11","inproceedings","Data miming: inferring spatial object descriptions from human gesture.","Christian Holz; Andrew D. Wilson","CHI","2011","811-820","https://doi.org/10.1145/1978942.1979060"
"conf_chi_holzb11","inproceedings","Understanding touch.","Christian Holz; Patrick Baudisch","CHI","2011","2501-2510","https://doi.org/10.1145/1978942.1979308"
"conf_uist_gustafsonhb11","inproceedings","Imaginary phone: learning imaginary interfaces by transferring spatial memory from a familiar device.","Sean Gustafson; Christian Holz; Patrick Baudisch","UIST","2011","283-292","https://doi.org/10.1145/2047196.2047233"
"conf_chi_holzb10","inproceedings","The generalized perceived input point model and how to double touch accuracy by extracting fingerprints.","Christian Holz; Patrick Baudisch","CHI","2010","581-590","https://doi.org/10.1145/1753326.1753413"
"conf_uist_augstenkmfksbhb10","inproceedings","Multitoe: high-precision interaction with back-projected floors based on high-resolution multi-touch input.","Thomas Augsten; Konstantin Kaefer; René Meusel; Caroline Fetzer; Dorian Kanitz; Thomas Stoff; Torsten Becker; Christian Holz; Patrick Baudisch","UIST","2010","209-218","https://doi.org/10.1145/1866029.1866064"
"conf_uist_holzf09","inproceedings","Relaxed selection techniques for querying time-series graphs.","Christian Holz; Steven Feiner","UIST","2009","213-222","https://doi.org/10.1145/1622176.1622217"

