title,date,summary,slug
New Website Launched,February 2026,The ETH HCI Collective website is live! Share your feedback to help us improve.,new-website-launched
ETH HCI Researchers Present at SwissCHI Winter Meeting,February 2026,ETH researchers shared CHI and IUI papers at the annual Swiss HCI gathering in Lausanne.,swisschi-winter-2026
Welcome Prof. Daniela Mitterberger,December 2025,Prof. Daniela Mitterberger joins ETH Zurich at the intersection of architecture and human-robot interaction.,welcome-daniela-mitterberger
